Order_ID,Order_Date,Category,Sub_Category,Region,Segment,City,Quantity,Discount,Sales,Profit
ORD-10034,2024-01-01,Office Supplies,Binders,West,Consumer,Boston,6,0.15,455.15,21.65
ORD-10447,2024-01-03,Office Supplies,Binders,Central,Consumer,Houston,6,0.2,525.74,40.54
ORD-10389,2024-01-03,Office Supplies,Art,West,Consumer,Houston,5,0.05,552.56,41.78
ORD-10197,2024-01-04,Office Supplies,Binders,South,Consumer,Los Angeles,2,0.15,135.9,-5.02
ORD-10148,2024-01-07,Furniture,Chairs,South,Corporate,Boston,9,0.15,2003.52,176.06
ORD-10124,2024-01-08,Technology,Accessories,South,Consumer,Atlanta,8,0.15,2955.97,522.12
ORD-10243,2024-01-11,Office Supplies,Storage,South,Home Office,Los Angeles,5,0.1,62.14,8.17
ORD-10412,2024-01-11,Office Supplies,Art,West,Corporate,Los Angeles,7,0.2,464.28,24.48
ORD-10297,2024-01-12,Office Supplies,Storage,Central,Consumer,Chicago,9,0.0,825.55,98.94
ORD-10319,2024-01-16,Technology,Computers,West,Consumer,Chicago,9,0.05,1466.4,77.62
ORD-10359,2024-01-16,Office Supplies,Binders,Central,Consumer,Atlanta,6,0.05,280.56,61.49
ORD-10211,2024-01-17,Furniture,Bookcases,East,Consumer,Atlanta,9,0.2,987.12,69.78
ORD-10293,2024-01-17,Office Supplies,Paper,West,Corporate,Seattle,4,0.15,343.31,35.52
ORD-10273,2024-01-17,Office Supplies,Binders,South,Corporate,Houston,3,0.15,201.22,33.5
ORD-10101,2024-01-18,Technology,Phones,South,Corporate,Los Angeles,6,0.3,865.12,72.48
ORD-10100,2024-01-19,Technology,Phones,South,Corporate,Los Angeles,7,0.1,1691.73,429.6
ORD-10439,2024-01-20,Office Supplies,Storage,South,Corporate,New York,9,0.0,303.6,31.08
ORD-10001,2024-01-23,Furniture,Tables,East,Home Office,Houston,5,0.2,1064.44,57.98
ORD-10061,2024-01-25,Furniture,Chairs,West,Home Office,Chicago,5,0.1,1114.87,115.84
ORD-10279,2024-01-25,Office Supplies,Paper,East,Corporate,Seattle,9,0.05,502.7,165.47
ORD-10219,2024-01-27,Office Supplies,Paper,East,Home Office,Los Angeles,3,0.1,200.21,36.19
ORD-10240,2024-01-29,Technology,Computers,Central,Consumer,Atlanta,3,0.3,544.51,49.25
ORD-10022,2024-01-29,Technology,Computers,East,Home Office,Boston,8,0.2,2478.6,-34.68
ORD-10374,2024-01-29,Office Supplies,Binders,Central,Corporate,Atlanta,1,0.2,36.48,5.79
ORD-10200,2024-01-29,Office Supplies,Paper,South,Home Office,Houston,8,0.0,665.45,99.5
ORD-10091,2024-02-01,Technology,Accessories,West,Home Office,Atlanta,1,0.2,192.14,1.93
ORD-10210,2024-02-03,Technology,Phones,Central,Corporate,Atlanta,2,0.0,494.65,67.01
ORD-10478,2024-02-06,Furniture,Chairs,South,Corporate,Los Angeles,8,0.0,1801.72,241.13
ORD-10472,2024-02-07,Office Supplies,Binders,Central,Home Office,Atlanta,6,0.2,684.56,79.22
ORD-10280,2024-02-08,Office Supplies,Art,West,Consumer,Dallas,7,0.2,549.62,135.44
ORD-10351,2024-02-08,Furniture,Chairs,West,Corporate,Boston,2,0.05,82.79,5.35
ORD-10373,2024-02-08,Technology,Accessories,East,Consumer,Los Angeles,8,0.1,2045.45,19.74
ORD-10466,2024-02-09,Furniture,Chairs,East,Home Office,Boston,2,0.1,268.85,72.09
ORD-10483,2024-02-09,Furniture,Chairs,Central,Home Office,Boston,8,0.1,1105.8,253.59
ORD-10492,2024-02-09,Office Supplies,Storage,East,Corporate,Seattle,1,0.1,136.58,20.24
ORD-10493,2024-02-09,Technology,Accessories,West,Corporate,Chicago,1,0.0,356.12,62.74
ORD-10209,2024-02-10,Technology,Phones,West,Consumer,Atlanta,4,0.2,667.51,50.42
ORD-10278,2024-02-11,Office Supplies,Binders,East,Home Office,Seattle,7,0.15,762.53,60.21
ORD-10207,2024-02-11,Technology,Phones,East,Corporate,Atlanta,5,0.1,469.56,83.66
ORD-10292,2024-02-13,Technology,Phones,West,Home Office,Chicago,8,0.1,1820.41,155.21
ORD-10317,2024-02-16,Furniture,Tables,West,Home Office,Houston,1,0.2,142.14,24.19
ORD-10434,2024-02-16,Technology,Accessories,East,Consumer,Atlanta,2,0.1,386.88,47.25
ORD-10073,2024-02-18,Technology,Computers,East,Consumer,Atlanta,4,0.15,905.68,187.66
ORD-10021,2024-02-20,Office Supplies,Paper,West,Consumer,Boston,4,0.0,348.43,16.31
ORD-10132,2024-02-20,Technology,Accessories,East,Home Office,New York,4,0.15,822.88,34.58
ORD-10172,2024-02-22,Technology,Computers,East,Home Office,Houston,1,0.05,143.7,14.04
ORD-10433,2024-02-23,Office Supplies,Art,Central,Corporate,Chicago,9,0.1,473.24,5.95
ORD-10128,2024-02-23,Office Supplies,Art,East,Home Office,Seattle,4,0.0,358.63,63.55
ORD-10113,2024-02-24,Office Supplies,Storage,Central,Home Office,Boston,6,0.15,414.27,-2.71
ORD-10119,2024-02-24,Office Supplies,Paper,West,Home Office,Dallas,9,0.15,649.2,76.6
ORD-10251,2024-02-24,Technology,Accessories,South,Home Office,Dallas,3,0.0,912.64,162.77
ORD-10181,2024-02-28,Furniture,Chairs,South,Home Office,Dallas,9,0.2,1235.2,31.56
ORD-10276,2024-03-01,Furniture,Tables,East,Home Office,Los Angeles,9,0.1,1645.06,-38.85
ORD-10405,2024-03-01,Furniture,Tables,East,Home Office,Houston,8,0.15,1414.87,44.11
ORD-10444,2024-03-02,Furniture,Bookcases,West,Consumer,Houston,6,0.1,1369.97,133.55
ORD-10413,2024-03-02,Office Supplies,Art,South,Corporate,Chicago,7,0.15,792.0,19.64
ORD-10081,2024-03-03,Office Supplies,Art,Central,Corporate,Seattle,2,0.1,165.48,40.46
ORD-10068,2024-03-03,Office Supplies,Storage,South,Consumer,Los Angeles,9,0.1,1085.17,113.56
ORD-10255,2024-03-09,Technology,Phones,South,Home Office,Boston,2,0.1,508.95,28.2
ORD-10270,2024-03-13,Technology,Accessories,South,Home Office,Chicago,6,0.1,770.82,-2.93
ORD-10050,2024-03-15,Technology,Phones,South,Home Office,Seattle,8,0.0,1685.86,443.79
ORD-10204,2024-03-15,Office Supplies,Storage,South,Corporate,Boston,5,0.1,360.05,76.03
ORD-10139,2024-03-18,Furniture,Chairs,West,Home Office,Chicago,8,0.15,1590.9,324.82
ORD-10303,2024-03-21,Furniture,Chairs,Central,Corporate,Boston,9,0.0,1818.34,428.83
ORD-10159,2024-03-22,Technology,Accessories,East,Consumer,Los Angeles,6,0.0,1486.87,240.18
ORD-10074,2024-03-24,Office Supplies,Binders,West,Home Office,Houston,9,0.1,700.15,56.03
ORD-10152,2024-03-25,Technology,Accessories,Central,Corporate,Dallas,6,0.0,2308.91,729.21
ORD-10322,2024-03-26,Office Supplies,Paper,Central,Home Office,Atlanta,3,0.2,152.47,9.26
ORD-10118,2024-03-27,Technology,Computers,Central,Corporate,Houston,4,0.15,420.44,-23.65
ORD-10138,2024-03-28,Office Supplies,Binders,Central,Home Office,Atlanta,3,0.2,335.58,-2.88
ORD-10311,2024-03-29,Furniture,Tables,South,Home Office,Atlanta,5,0.1,885.49,146.06
ORD-10450,2024-03-29,Technology,Accessories,West,Consumer,Chicago,2,0.3,178.68,28.57
ORD-10500,2024-04-01,Office Supplies,Art,South,Home Office,Seattle,6,0.0,506.4,112.77
ORD-10137,2024-04-05,Furniture,Chairs,West,Corporate,Chicago,5,0.2,302.92,3.11
ORD-10346,2024-04-07,Office Supplies,Storage,South,Consumer,Los Angeles,6,0.2,197.33,2.72
ORD-10250,2024-04-07,Office Supplies,Binders,East,Corporate,New York,2,0.2,109.33,12.17
ORD-10438,2024-04-08,Office Supplies,Paper,South,Home Office,Dallas,6,0.0,590.83,156.41
ORD-10288,2024-04-11,Furniture,Chairs,West,Home Office,Atlanta,8,0.05,1364.4,212.0
ORD-10018,2024-04-15,Furniture,Chairs,East,Corporate,Dallas,9,0.05,1336.37,138.68
ORD-10427,2024-04-16,Furniture,Chairs,South,Home Office,Los Angeles,1,0.2,134.38,-5.86
ORD-10284,2024-04-17,Technology,Accessories,West,Consumer,Dallas,8,0.0,2039.64,40.05
ORD-10362,2024-04-17,Office Supplies,Storage,South,Corporate,Dallas,1,0.05,37.0,9.12
ORD-10201,2024-04-18,Office Supplies,Storage,South,Consumer,Chicago,2,0.0,137.8,11.99
ORD-10246,2024-04-22,Office Supplies,Binders,East,Consumer,Dallas,1,0.0,50.16,6.86
ORD-10107,2024-04-22,Furniture,Chairs,Central,Consumer,Houston,1,0.05,196.4,8.85
ORD-10108,2024-04-23,Office Supplies,Binders,East,Consumer,Chicago,7,0.05,500.7,97.53
ORD-10482,2024-04-23,Office Supplies,Storage,Central,Consumer,New York,1,0.2,68.91,3.46
ORD-10185,2024-04-24,Technology,Phones,East,Consumer,Houston,9,0.1,2259.09,584.23
ORD-10488,2024-04-24,Technology,Accessories,West,Consumer,New York,7,0.15,1871.98,145.02
ORD-10044,2024-04-26,Office Supplies,Binders,East,Corporate,New York,1,0.0,106.38,20.07
ORD-10166,2024-04-28,Office Supplies,Art,West,Consumer,Atlanta,4,0.0,470.83,110.79
ORD-10449,2024-04-29,Furniture,Tables,East,Consumer,Dallas,8,0.2,552.47,104.47
ORD-10141,2024-04-29,Office Supplies,Paper,West,Home Office,New York,8,0.1,243.8,9.11
ORD-10471,2024-05-03,Technology,Computers,West,Home Office,Los Angeles,5,0.2,537.71,-1.83
ORD-10017,2024-05-06,Technology,Accessories,Central,Consumer,Chicago,6,0.1,1058.65,97.49
ORD-10206,2024-05-07,Technology,Phones,Central,Corporate,Seattle,1,0.1,258.63,66.69
ORD-10183,2024-05-07,Office Supplies,Binders,West,Home Office,Chicago,1,0.15,89.82,5.14
ORD-10234,2024-05-09,Furniture,Bookcases,East,Consumer,Seattle,7,0.0,915.78,155.75
ORD-10347,2024-05-10,Office Supplies,Art,East,Home Office,Los Angeles,3,0.0,248.73,39.02
ORD-10281,2024-05-10,Office Supplies,Paper,East,Corporate,Houston,9,0.2,682.89,12.1
ORD-10016,2024-05-12,Technology,Computers,South,Home Office,Seattle,4,0.1,1131.28,-88.23
ORD-10040,2024-05-16,Furniture,Tables,South,Corporate,Los Angeles,9,0.2,1499.49,137.47
ORD-10328,2024-05-16,Office Supplies,Storage,South,Consumer,Chicago,7,0.15,535.31,151.0
ORD-10403,2024-05-19,Furniture,Bookcases,South,Consumer,Los Angeles,3,0.1,645.11,58.0
ORD-10086,2024-05-20,Furniture,Tables,East,Home Office,Seattle,1,0.1,138.04,11.37
ORD-10369,2024-05-20,Technology,Computers,West,Corporate,Dallas,3,0.15,1003.54,70.26
ORD-10007,2024-05-20,Technology,Phones,Central,Consumer,Boston,6,0.0,1188.26,159.24
ORD-10391,2024-05-21,Office Supplies,Binders,Central,Home Office,Seattle,9,0.2,220.19,2.38
ORD-10098,2024-05-23,Furniture,Tables,Central,Corporate,Seattle,2,0.1,254.35,62.7
ORD-10445,2024-05-24,Office Supplies,Storage,West,Home Office,New York,5,0.1,389.45,47.82
ORD-10205,2024-05-25,Office Supplies,Art,West,Corporate,Seattle,8,0.2,280.56,8.61
ORD-10395,2024-05-25,Furniture,Tables,South,Corporate,Dallas,3,0.0,510.42,9.15
ORD-10497,2024-05-26,Furniture,Tables,East,Home Office,Los Angeles,3,0.1,633.36,-22.77
ORD-10153,2024-05-26,Technology,Accessories,South,Corporate,Chicago,2,0.2,409.74,10.21
ORD-10259,2024-05-27,Furniture,Chairs,East,Home Office,Boston,5,0.15,918.32,145.77
ORD-10077,2024-05-27,Office Supplies,Binders,South,Home Office,Chicago,7,0.1,674.66,112.38
ORD-10241,2024-05-28,Office Supplies,Storage,Central,Corporate,Seattle,9,0.0,638.29,77.19
ORD-10151,2024-05-30,Office Supplies,Paper,East,Home Office,Houston,4,0.0,165.16,32.64
ORD-10343,2024-05-31,Technology,Phones,West,Corporate,Houston,7,0.05,1846.22,104.44
ORD-10213,2024-06-01,Office Supplies,Art,South,Home Office,Los Angeles,2,0.0,201.29,28.84
