Order ID,Order Date,Ship Date,Category,Sub-Category,Product Name,Region,State,City,Quantity,Discount,Sales,Profit
ORD-0174,2025-01-02,2025-01-06,Office Supplies,Binders,Binders Product 13,South,Georgia,Miami,5,0.0,312.42,62.36
ORD-0294,2025-01-02,2025-01-03,Office Supplies,Labels,Labels Product 9,East,Massachusetts,Houston,6,0.05,933.08,171.28
ORD-0207,2025-01-03,2025-01-08,Technology,Printers,Printers Product 4,South,Tennessee,Chicago,4,0.1,5046.08,556.06
ORD-0183,2025-01-05,2025-01-08,Office Supplies,Labels,Labels Product 10,West,Nevada,Miami,1,0.05,274.9,28.38
ORD-0308,2025-01-05,2025-01-10,Technology,Accessories,Accessories Product 2,West,Nevada,Chicago,3,0.1,2138.37,334.56
ORD-0461,2025-01-06,2025-01-09,Office Supplies,Storage,Storage Product 4,South,Virginia,Los Angeles,2,0.2,330.82,24.63
ORD-0485,2025-01-06,2025-01-11,Furniture,Furnishings,Furnishings Product 10,South,Florida,Atlanta,2,0.0,571.92,92.25
ORD-0346,2025-01-06,2025-01-07,Technology,Accessories,Accessories Product 1,East,Massachusetts,Miami,3,0.15,1916.28,179.9
ORD-0055,2025-01-07,2025-01-10,Furniture,Furnishings,Furnishings Product 10,West,California,Miami,1,0.05,407.93,30.27
ORD-0219,2025-01-07,2025-01-12,Office Supplies,Binders,Binders Product 6,South,Florida,New York,7,0.2,909.42,88.6
ORD-0075,2025-01-08,2025-01-11,Office Supplies,Labels,Labels Product 11,Central,Ohio,Miami,1,0.1,56.0,8.54
ORD-0143,2025-01-09,2025-01-11,Office Supplies,Paper,Paper Product 8,East,Pennsylvania,Seattle,3,0.1,284.65,52.78
ORD-0065,2025-01-10,2025-01-11,Furniture,Bookcases,Bookcases Product 6,South,Florida,Atlanta,5,0.2,3379.35,385.0
ORD-0329,2025-01-11,2025-01-16,Technology,Phones,Phones Product 4,West,Nevada,Chicago,6,0.0,8601.26,1766.54
ORD-0062,2025-01-12,2025-01-16,Furniture,Bookcases,Bookcases Product 5,South,Virginia,Los Angeles,6,0.15,4417.29,130.06
ORD-0077,2025-01-12,2025-01-17,Technology,Laptops,Laptops Product 11,West,California,Los Angeles,6,0.05,2442.74,347.21
ORD-0331,2025-01-13,2025-01-14,Office Supplies,Labels,Labels Product 9,West,Nevada,Atlanta,7,0.05,869.73,158.82
ORD-0441,2025-01-13,2025-01-15,Office Supplies,Labels,Labels Product 6,West,Nevada,Houston,6,0.15,143.53,10.33
ORD-0320,2025-01-13,2025-01-16,Furniture,Furnishings,Furnishings Product 6,East,New Jersey,Seattle,2,0.1,1128.28,68.07
ORD-0239,2025-01-14,2025-01-17,Furniture,Tables,Tables Product 15,South,Florida,Miami,4,0.1,2500.66,315.19
