Order ID,Order Date,Ship Date,Customer Name,Segment,Region,State,City,Category,Sub-Category,Product,Quantity,Discount,Sales,Profit
ORD-00001,2025-05-10,2025-05-13,Customer 204,Consumer,Central,Missouri,St. Louis,Technology,Machines,Monitor,5,0.15,3537.62,216.22
ORD-00002,2023-01-22,2023-01-27,Customer 018,Consumer,West,California,Los Angeles,Furniture,Bookcases,Desk,3,0.2,2265.92,-214.61
ORD-00003,2024-01-23,2024-01-24,Customer 004,Consumer,South,Georgia,Atlanta,Furniture,Tables,Cabinet,7,0.05,3650.78,88.03
ORD-00004,2024-12-03,2024-12-05,Customer 237,Consumer,Central,Illinois,Chicago,Furniture,Furnishings,Conference Table,8,0.3,4181.17,-946.22
ORD-00005,2025-11-30,2025-12-05,Customer 201,Consumer,South,Florida,Miami,Technology,Phones,Laptop,8,0.1,838.62,68.53
ORD-00006,2025-02-18,2025-02-20,Customer 137,Corporate,East,New Jersey,Newark,Office Supplies,Envelopes,Printer Paper,3,0.1,429.33,30.68
ORD-00007,2023-07-26,2023-07-28,Customer 066,Consumer,East,New Jersey,Newark,Technology,Copiers,Laptop,4,0.0,3718.07,668.46
ORD-00008,2024-11-12,2024-11-17,Customer 205,Consumer,West,Colorado,Denver,Office Supplies,Art,Storage Box,10,0.1,1452.92,127.01
ORD-00009,2024-12-10,2024-12-13,Customer 101,Consumer,West,Colorado,Denver,Office Supplies,Paper,Storage Box,6,0.0,363.65,71.7
ORD-00010,2025-08-09,2025-08-10,Customer 203,Consumer,East,Pennsylvania,Philadelphia,Furniture,Tables,Cabinet,1,0.05,180.82,15.66
ORD-00011,2023-05-03,2023-05-04,Customer 148,Corporate,Central,Missouri,St. Louis,Office Supplies,Envelopes,Envelope Pack,1,0.05,150.56,22.51
ORD-00012,2025-05-13,2025-05-17,Customer 060,Corporate,South,Georgia,Atlanta,Office Supplies,Storage,Storage Box,2,0.15,113.11,2.47
ORD-00013,2025-05-30,2025-06-01,Customer 227,Consumer,South,Virginia,Richmond,Furniture,Furnishings,Bookshelf,9,0.2,5245.41,-546.71
ORD-00014,2024-05-24,2024-05-25,Customer 128,Consumer,Central,Missouri,St. Louis,Technology,Accessories,Smartphone,3,0.05,1601.59,256.35
ORD-00015,2024-02-05,2024-02-06,Customer 035,Consumer,West,Oregon,Portland,Furniture,Bookcases,Cabinet,8,0.1,4394.22,53.86
ORD-00016,2025-12-08,2025-12-09,Customer 213,Corporate,South,Tennessee,Nashville,Technology,Accessories,Monitor,5,0.15,5181.12,458.59
ORD-00017,2025-07-16,2025-07-17,Customer 170,Home Office,West,Washington,Seattle,Furniture,Bookcases,Desk,8,0.05,3199.42,271.81
ORD-00018,2025-01-28,2025-01-30,Customer 092,Consumer,South,Florida,Miami,Office Supplies,Art,Binder,4,0.15,591.11,43.73
ORD-00019,2025-04-13,2025-04-16,Customer 109,Consumer,West,Colorado,Denver,Office Supplies,Paper,Envelope Pack,10,0.1,301.86,20.11
ORD-00020,2025-09-18,2025-09-22,Customer 117,Home Office,West,Oregon,Portland,Office Supplies,Art,Pen Set,10,0.0,529.18,92.82
ORD-00021,2025-03-01,2025-03-02,Customer 076,Consumer,Central,Texas,Houston,Technology,Phones,Smartphone,6,0.1,4904.59,284.59
ORD-00022,2023-06-03,2023-06-06,Customer 101,Consumer,Central,Texas,Houston,Furniture,Furnishings,Cabinet,4,0.05,323.54,37.15
ORD-00023,2023-01-23,2023-01-25,Customer 084,Corporate,Central,Missouri,St. Louis,Office Supplies,Art,Binder,10,0.15,1329.2,-33.95
ORD-00024,2024-11-20,2024-11-23,Customer 243,Corporate,Central,Texas,Houston,Office Supplies,Storage,Pen Set,1,0.0,32.7,6.32
ORD-00025,2025-01-23,2025-01-26,Customer 164,Consumer,West,Washington,Seattle,Technology,Accessories,Smartphone,2,0.2,542.98,35.69
ORD-00026,2024-04-01,2024-04-04,Customer 086,Consumer,South,Virginia,Richmond,Furniture,Bookcases,Cabinet,7,0.1,4248.03,-41.72
ORD-00027,2024-02-01,2024-02-04,Customer 213,Consumer,East,Massachusetts,Boston,Technology,Phones,Monitor,7,0.0,6030.93,1375.59
ORD-00028,2024-07-22,2024-07-27,Customer 230,Consumer,South,Georgia,Atlanta,Technology,Machines,Smartphone,7,0.15,4040.81,232.58
ORD-00029,2023-06-19,2023-06-20,Customer 189,Consumer,South,Georgia,Atlanta,Technology,Phones,Keyboard,8,0.2,3787.38,-240.25
ORD-00030,2025-05-25,2025-05-28,Customer 249,Consumer,East,Ohio,Columbus,Technology,Machines,Keyboard,10,0.1,7715.58,833.58
ORD-00031,2025-04-03,2025-04-04,Customer 143,Consumer,East,Pennsylvania,Philadelphia,Technology,Copiers,Keyboard,5,0.1,506.56,57.2
ORD-00032,2024-10-17,2024-10-18,Customer 041,Consumer,South,Georgia,Atlanta,Office Supplies,Envelopes,Storage Box,5,0.1,406.61,32.79
ORD-00033,2025-01-09,2025-01-12,Customer 065,Corporate,Central,Texas,Houston,Technology,Phones,Printer,3,0.05,2391.8,312.16
ORD-00034,2023-05-26,2023-05-27,Customer 095,Home Office,West,Washington,Seattle,Furniture,Tables,Bookshelf,1,0.3,237.15,-63.5
ORD-00035,2025-02-09,2025-02-14,Customer 154,Consumer,Central,Missouri,St. Louis,Office Supplies,Paper,Printer Paper,9,0.1,873.27,31.47
ORD-00036,2023-09-07,2023-09-09,Customer 142,Corporate,West,Oregon,Portland,Furniture,Furnishings,Office Chair,5,0.1,2609.56,-32.68
ORD-00037,2024-07-31,2024-08-03,Customer 216,Corporate,East,Massachusetts,Boston,Office Supplies,Paper,Binder,3,0.05,330.24,23.33
ORD-00038,2023-03-10,2023-03-12,Customer 132,Consumer,Central,Illinois,Chicago,Furniture,Bookcases,Bookshelf,3,0.2,944.84,-44.03
ORD-00039,2023-10-08,2023-10-11,Customer 177,Consumer,South,North Carolina,Charlotte,Office Supplies,Paper,Pen Set,3,0.05,155.76,21.17
ORD-00040,2025-03-04,2025-03-05,Customer 028,Consumer,West,Oregon,Portland,Office Supplies,Labels,Notebook,1,0.15,180.89,5.97
ORD-00041,2023-03-19,2023-03-21,Customer 218,Home Office,Central,Minnesota,Minneapolis,Technology,Machines,Monitor,2,0.05,790.64,108.92
ORD-00042,2023-05-06,2023-05-10,Customer 169,Corporate,East,New Jersey,Newark,Furniture,Furnishings,Desk,2,0.1,846.29,20.91
ORD-00043,2024-09-04,2024-09-08,Customer 055,Consumer,Central,Illinois,Chicago,Technology,Machines,Keyboard,9,0.0,2156.9,386.7
ORD-00044,2025-01-28,2025-01-31,Customer 203,Corporate,West,Colorado,Denver,Office Supplies,Envelopes,Binder,4,0.15,410.83,-9.89
ORD-00045,2025-11-15,2025-11-18,Customer 003,Consumer,South,Tennessee,Nashville,Technology,Accessories,Printer,1,0.0,775.27,151.22
ORD-00046,2025-06-20,2025-06-22,Customer 163,Consumer,West,Colorado,Denver,Technology,Copiers,Smartphone,2,0.05,245.82,38.28
ORD-00047,2023-11-14,2023-11-18,Customer 165,Consumer,South,Tennessee,Nashville,Office Supplies,Binders,Binder,3,0.15,55.69,-0.05
ORD-00048,2023-01-05,2023-01-08,Customer 143,Corporate,Central,Illinois,Chicago,Office Supplies,Binders,Pen Set,2,0.05,142.95,17.26
ORD-00049,2025-09-19,2025-09-20,Customer 164,Corporate,West,Washington,Seattle,Furniture,Furnishings,Bookshelf,6,0.2,2116.37,-174.94
ORD-00050,2023-06-06,2023-06-07,Customer 216,Consumer,West,Colorado,Denver,Office Supplies,Binders,Envelope Pack,2,0.0,155.15,26.69
ORD-00051,2025-08-05,2025-08-10,Customer 047,Corporate,West,Colorado,Denver,Technology,Copiers,Keyboard,3,0.0,1796.89,279.47
ORD-00052,2023-12-12,2023-12-15,Customer 106,Consumer,East,New Jersey,Newark,Technology,Accessories,Laptop,8,0.2,6986.59,-11.26
ORD-00053,2025-10-05,2025-10-09,Customer 143,Home Office,West,California,Los Angeles,Furniture,Chairs,Office Chair,7,0.2,1175.61,-109.17
ORD-00054,2024-10-22,2024-10-23,Customer 171,Consumer,Central,Illinois,Chicago,Office Supplies,Labels,Binder,4,0.1,249.6,12.51
ORD-00055,2025-08-12,2025-08-16,Customer 086,Home Office,South,Florida,Miami,Furniture,Tables,Cabinet,1,0.1,191.63,7.4
ORD-00056,2024-04-20,2024-04-25,Customer 001,Consumer,East,New York,New York,Technology,Accessories,Monitor,3,0.15,1032.27,-7.65
